Transaction Hash,Status,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Asset,
0x03138a9063af4828721b966240e9c094c7c407d44e5299220c4f81d545fbdf55,Success,2025/12/15,0x49Cb2c5A078149e2D1d1661187669B23bDB60DAD,VICTIM,0xFf6e37014E8298DA01c8B771832cCD6bBF87C102,ATTACKER,1.998114,WBTC,
0x475bbf3216a2f6c786509a6a929bb857a6b2f45c4ae54b6ae72ede47f3edfcdc,Success,2025/12/15,0x84b38Bc60f3bD82640EceFa320dAB2bE62e2Da15,VICTIM,0xFf6e37014E8298DA01c8B771832cCD6bBF87C102,ATTACKER,2.51994,WBTC,
0xc66dfc1da15be7748a539f171a8157307e2b8dac33c4625773ffc59eeb228aaf,Success,2025/12/15,0xFf6e37014E8298DA01c8B771832cCD6bBF87C102,,0xeB84eC34a6E5971C3D2d0461e5b5B80D4be6dB6A,,1.99359,WBTC,
0xca17bbccc0b9faebdaadeb7daeeebe246846e238770bda9baf08186f77538d9c,Success,2025/12/15,0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124,,0xeB84eC34a6E5971C3D2d0461e5b5B80D4be6dB6A,,1.989587,cbBTC,
0x0e726f8115793d4f22b2c986da968b925ed56e44f0e1e889f9232e28cc9ba931,Success,2025/12/15,0xeB84eC34a6E5971C3D2d0461e5b5B80D4be6dB6A,,0x412f30e9f8B4a1e99eaE90209A6b00f5C3cc8739,wormhole bridge,1.98759624,cbBTC,
,Success,2025/12/15,0x412f30e9f8B4a1e99eaE90209A6b00f5C3cc8739,wormhole bridge,BPFLoaderUpgradeab1e11111111111111111111111,wormhole bridge,1.98759624,cbBTC,
4pQBNXBqsWsEHuUx6mRA2pBv8Qdty49gwwBsgK7ZYHFFgM25LBt5WWwarpwvA6tenVy6RxLMBn34mw6B3ZeB6WBa,Success,2025/12/15,BPFLoaderUpgradeab1e11111111111111111111111,wormhole bridge,tbr7Qje6qBzPwfM52csL5KFi8ps5c5vDyiVVBLYVdRf,,1.98560865,cbBTC,
0x210d90ea552f1fd3cfc6dfc12c46ea922adcda04bc97cab8d52f112c230643db,Success,2025/12/15,0x63242A4Ea82847b20E506b63B0e2e2eFF0CC6cB0,VICTIM,0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124,ATTACKER,1.276289,cbBTC,
0x91e5d77aeda13a3accccd25a62ff91543a38e235acf25912dbedf0133654bc65,Success,2025/12/15,0x63242A4Ea82847b20E506b63B0e2e2eFF0CC6cB0,VICTIM,0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124,ATTACKER,1.070279,cbBTC,
0xb3a9ebde7273de519204a0ea13bc53ce61e2b8c28af717e0f89ddbedf210e7cc,Success,2025/12/15,0xFF3b9D76aBEB00Eb23cf37c5E6242b4Fa1411DCD,,0xa7062bbA94c91d565Ae33B893Ab5dFAF1Fc57C4d,allbridge,"170,000",USDC,
,Success,2025/12/15,0xa7062bbA94c91d565Ae33B893Ab5dFAF1Fc57C4d,allbridge,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,allbridge,"168,453.99",USDC,
59A29Mv5cribrFLrCJEHsK5o8ykBE5i9hxfCKcB3QcPSWzKZFyie2WYCrzBCHTqkm6iEPpjTuAdcVqEiBVoqGW4v,Success,2025/12/15,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,allbridge,D4jtaZc6GcMumPSb2ui6a48EiQmkwo2KQodmyunY6HGj,,"168,453.99",USDC,
0x7398f019087791b9c24dbdf389fea65e33a30f023474e2520f38f803a8f4b3ba,Success,2025/12/14,0x17eE0089752dB6B0c3c2bC9895a884da1E6438E3,,0xFF3b9D76aBEB00Eb23cf37c5E6242b4Fa1411DCD,,"132,000",USDC,
0x5954660c93b568d3ce0696453d6595dfff03372620e015fb7edb53aafde5d976,Success,2025/12/14,0x17eE0089752dB6B0c3c2bC9895a884da1E6438E3,,0xFF3b9D76aBEB00Eb23cf37c5E6242b4Fa1411DCD,ATTACKER,"132,000",USDC,
0xe23e6e549df8bb430faac9bfecef7f873f04e6fa8d4f393aa1772e66efd63d31,Success,2025/12/13,0xaBbd5b2b0B034781E58434736728B9D0673de7f1,VICTIM,0x17eE0089752dB6B0c3c2bC9895a884da1E6438E3,,"182,912",USDC,
0x0b36cddde8201c35572340fcdc4f28d3336eb6409bdd7e6491c7eb7cad2a6686,Success,2025/12/14,0xf3CdD7fD1b6C8aD77C713E2e744178cB70a74dc8,VICTIM,0x17eE0089752dB6B0c3c2bC9895a884da1E6438E3,,"126,500",USDC,
0x14baa6803cdb553bdf7938d2a5d03e82beb13b449b0f2f41dd41f2b5561c641b,Success,2025/12/13,0x98C23E9d8f34FEFb1B7BD6a91B7FF122F4e16F5c,,0xaBbd5b2b0B034781E58434736728B9D0673de7f1,,"180,000",USDC,
0x9ebb1f5ef70ed6040191164f5eea952aa09362891659ab54dfc780e051af80c1,Success,2025/12/10,0x98C23E9d8f34FEFb1B7BD6a91B7FF122F4e16F5c,,0xaBbd5b2b0B034781E58434736728B9D0673de7f1,,"25,000",USDC,
0xf986bdb7e204cfddfe8ac263a91f806addef74557dd824a32226e14732598e86,Success,2025/12/10,0xcb7603c812320b3057E57aA0c46bA3788448CEB3,VICTIM,0xf3CdD7fD1b6C8aD77C713E2e744178cB70a74dc8,ATTACKER,"345,000",USDC,
